group,value,sample_id
Control,23.5,C1
Control,25.2,C2
Control,22.8,C3
Control,24.1,C4
Control,23.9,C5
Control,25.7,C6
Control,22.3,C7
Control,24.6,C8
Control,23.1,C9
Control,25.4,C10
Control,22.9,C11
Control,24.8,C12
Control,23.7,C13
Control,25.1,C14
Control,22.6,C15
Control,24.3,C16
Control,23.4,C17
Control,25.8,C18
Control,22.1,C19
Control,24.9,C20
Treatment_A,28.3,T1A
Treatment_A,30.1,T2A
Treatment_A,27.5,T3A
Treatment_A,29.8,T4A
Treatment_A,28.9,T5A
Treatment_A,31.2,T6A
Treatment_A,27.1,T7A
Treatment_A,30.5,T8A
Treatment_A,28.7,T9A
Treatment_A,29.4,T10A
Treatment_A,27.8,T11A
Treatment_A,30.9,T12A
Treatment_A,28.2,T13A
Treatment_A,29.7,T14A
Treatment_A,27.6,T15A
Treatment_A,30.3,T16A
Treatment_A,28.5,T17A
Treatment_A,31.1,T18A
Treatment_A,27.3,T19A
Treatment_A,30.7,T20A
Treatment_B,19.2,T1B
Treatment_B,17.8,T2B
Treatment_B,20.5,T3B
Treatment_B,18.3,T4B
Treatment_B,19.7,T5B
Treatment_B,16.9,T6B
Treatment_B,20.8,T7B
Treatment_B,17.5,T8B
Treatment_B,19.4,T9B
Treatment_B,18.7,T10B
Treatment_B,20.1,T11B
Treatment_B,17.2,T12B
Treatment_B,19.9,T13B
Treatment_B,18.5,T14B
Treatment_B,20.3,T15B
Treatment_B,17.6,T16B
Treatment_B,19.1,T17B
Treatment_B,18.9,T18B
Treatment_B,20.6,T19B
Treatment_B,17.4,T20B
High_Dose,35.2,HD1
High_Dose,37.8,HD2
High_Dose,34.5,HD3
High_Dose,36.9,HD4
High_Dose,35.7,HD5
High_Dose,38.3,HD6
High_Dose,34.1,HD7
High_Dose,37.2,HD8
High_Dose,35.9,HD9
High_Dose,36.5,HD10
High_Dose,34.8,HD11
High_Dose,37.6,HD12
High_Dose,35.3,HD13
High_Dose,36.7,HD14
High_Dose,34.6,HD15
High_Dose,37.4,HD16
High_Dose,35.1,HD17
High_Dose,38.1,HD18
High_Dose,34.3,HD19
High_Dose,37.9,HD20
