gene_name,log2FoldChange,pvalue,padj,baseMean
GAPDH,0.15,0.45,0.62,15420.5
ACTB,-0.08,0.78,0.85,12350.2
TP53,2.34,0.001,0.015,890.7
MYC,1.87,0.003,0.025,1250.3
BRCA1,-1.95,0.002,0.018,750.8
EGFR,1.45,0.012,0.08,980.4
VEGFA,2.12,0.0008,0.012,1150.6
CDKN1A,1.78,0.005,0.035,680.9
BCL2,-1.56,0.008,0.055,920.1
PTEN,-2.01,0.001,0.014,580.3
AKT1,1.23,0.025,0.12,1080.7
PIK3CA,1.67,0.007,0.048,890.2
KRAS,1.89,0.004,0.028,1200.5
BRAF,1.34,0.018,0.095,760.8
NRAS,0.98,0.045,0.18,650.4
RAF1,1.12,0.032,0.15,720.6
MEK1,0.87,0.065,0.25,580.9
ERK1,0.76,0.085,0.32,690.3
JUN,1.45,0.015,0.085,840.7
FOS,1.67,0.009,0.058,920.4
STAT3,1.23,0.028,0.14,780.5
STAT1,0.98,0.048,0.19,650.8
JAK2,1.34,0.021,0.11,890.6
TYK2,0.87,0.072,0.28,560.3
IL6,2.45,0.0005,0.008,450.7
TNF,2.12,0.0012,0.016,380.9
IFNG,1.89,0.0035,0.026,520.4
IL1B,2.67,0.0003,0.006,290.8
CXCL8,2.34,0.0008,0.012,340.5
CCL2,1.98,0.0025,0.021,410.6
TGFB1,1.56,0.011,0.075,680.7
SMAD3,1.23,0.026,0.13,590.8
SMAD4,0.98,0.051,0.21,520.9
BMP2,1.45,0.016,0.088,460.3
WNT3A,1.78,0.006,0.042,380.7
CTNNB1,1.34,0.022,0.115,720.4
APC,-1.89,0.004,0.029,650.8
GSK3B,-1.23,0.027,0.135,580.6
AXIN1,-0.98,0.049,0.195,490.3
DVL1,1.12,0.034,0.16,420.7
FZD1,0.87,0.068,0.27,380.9
LRP6,1.45,0.017,0.092,520.4
TCF7L2,1.23,0.029,0.145,460.8
LEF1,0.98,0.052,0.215,390.5
MMP9,2.12,0.0015,0.017,680.7
MMP2,1.89,0.0038,0.027,590.8
TIMP1,-1.67,0.008,0.056,720.4
TIMP2,-1.34,0.021,0.112,650.9
COL1A1,1.78,0.0055,0.038,890.6
COL3A1,1.56,0.012,0.078,780.3
FN1,1.34,0.023,0.118,920.7
VIM,1.12,0.035,0.165,680.8
CDH1,-1.89,0.0042,0.03,1150.4
CDH2,1.67,0.0085,0.057,890.9
SNAI1,2.01,0.0022,0.019,520.6
TWIST1,1.78,0.0058,0.04,460.3
ZEB1,1.56,0.013,0.082,380.7
SLUG,1.34,0.024,0.122,420.8
FOXO1,-1.45,0.016,0.089,650.4
FOXO3,-1.23,0.028,0.138,580.9
NF1,-1.98,0.0028,0.022,720.5
RB1,-2.12,0.0018,0.018,490.8
E2F1,1.89,0.0041,0.029,380.6
CCND1,1.67,0.0087,0.058,920.3
CCNE1,1.45,0.017,0.093,680.7
CDK4,1.23,0.03,0.148,590.4
CDK6,1.01,0.047,0.188,520.8
CDKN2A,-2.34,0.0009,0.013,290.5
CDKN2B,-2.01,0.0025,0.021,320.7
MDM2,1.78,0.0062,0.043,460.9
MDM4,1.56,0.014,0.084,380.4
ATM,-1.34,0.024,0.123,650.8
ATR,-1.12,0.036,0.168,580.6
CHEK1,0.98,0.053,0.218,490.3
CHEK2,0.87,0.071,0.275,420.7
BRCA2,-1.89,0.0043,0.031,720.5
PALB2,-1.67,0.0089,0.059,590.8
RAD51,-1.45,0.018,0.096,680.4
XRCC1,-1.23,0.031,0.152,520.9
ERCC1,-1.01,0.048,0.192,460.6
XPA,-0.89,0.074,0.285,380.3
PCNA,1.34,0.025,0.125,890.7
RFC1,1.12,0.037,0.172,720.8
POLD1,0.98,0.054,0.222,650.4
POLE,0.87,0.073,0.28,580.9
DNA2,0.76,0.089,0.335,490.5
FEN1,1.23,0.032,0.155,420.8
LIG1,1.01,0.049,0.196,380.6
PARP1,1.45,0.019,0.098,650.3
PARP2,1.23,0.033,0.158,580.7
XRCC6,0.98,0.055,0.225,520.4
XRCC5,0.87,0.075,0.29,460.9
NHEJ1,0.76,0.092,0.345,390.8
LIG4,0.65,0.11,0.42,320.5
DCLRE1C,0.54,0.135,0.51,280.7
PRKDC,1.12,0.038,0.175,720.6
H2AFX,1.34,0.026,0.128,650.8
TP53BP1,1.23,0.034,0.162,580.4
MDC1,1.01,0.05,0.198,490.9
NBN,0.89,0.076,0.295,420.3
MRE11A,0.78,0.093,0.348,380.7
RAD50,0.67,0.115,0.435,320.8
RBBP8,0.56,0.14,0.52,290.5
EXO1,0.45,0.165,0.58,260.4
BLM,0.34,0.195,0.65,230.8
WRN,0.23,0.225,0.72,200.6
RECQL4,0.12,0.26,0.78,180.3
RECQL5,0.01,0.295,0.82,160.7
TOP1,-0.12,0.33,0.86,140.5
TOP2A,1.45,0.02,0.102,920.8
TOP2B,1.23,0.035,0.164,780.4
TOP3A,0.98,0.056,0.228,650.9
TOP3B,0.87,0.077,0.298,580.6
TOPBP1,1.12,0.039,0.178,490.3
RPA1,1.01,0.051,0.202,420.7
RPA2,0.89,0.078,0.302,380.8
RPA3,0.78,0.095,0.352,320.5
RFC2,0.67,0.118,0.44,290.4
RFC3,0.56,0.142,0.525,260.8
RFC4,0.45,0.168,0.585,230.6
RFC5,0.34,0.198,0.658,200.3
PCNA,1.34,0.027,0.132,890.7
